model_path,train_data_path,valid_data_path,vocab_path,model_type,max_length,hidden_size,kernel_size,num_layers,epoch,batch_size,pooling_style,optimizer,learning_rate,pretrain_model_path,seed,class_num,vocab_size,acc
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,cnn,20,128,3,2,10,128,avg,adam,0.001,bert-base-chinese,1024,18,4622,0.5611111111111111
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,cnn,20,128,3,2,10,128,max,sgd,0.001,bert-base-chinese,1024,18,4622,0.058333333333333334
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,cnn,20,128,3,2,10,128,avg,sgd,0.001,bert-base-chinese,1024,18,4622,0.05
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,cnn,20,256,3,2,10,128,max,adam,0.001,bert-base-chinese,1024,18,4622,0.6722222222222223
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,cnn,20,256,3,2,10,128,avg,adam,0.001,bert-base-chinese,1024,18,4622,0.6444444444444445
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,cnn,20,256,3,2,10,128,max,sgd,0.001,bert-base-chinese,1024,18,4622,0.075
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,cnn,20,256,3,2,10,128,avg,sgd,0.001,bert-base-chinese,1024,18,4622,0.07222222222222222
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,cnn,20,64,3,2,10,128,max,adam,0.0001,bert-base-chinese,1024,18,4622,0.05555555555555555
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,cnn,20,64,3,2,10,128,avg,adam,0.0001,bert-base-chinese,1024,18,4622,0.16666666666666666
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,cnn,20,64,3,2,10,128,max,sgd,0.0001,bert-base-chinese,1024,18,4622,0.06388888888888888
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,cnn,20,64,3,2,10,128,avg,sgd,0.0001,bert-base-chinese,1024,18,4622,0.075
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,cnn,20,128,3,2,10,128,max,adam,0.0001,bert-base-chinese,1024,18,4622,0.25833333333333336
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,cnn,20,128,3,2,10,128,avg,adam,0.0001,bert-base-chinese,1024,18,4622,0.2861111111111111
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,cnn,20,128,3,2,10,128,max,sgd,0.0001,bert-base-chinese,1024,18,4622,0.03611111111111111
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,cnn,20,128,3,2,10,128,avg,sgd,0.0001,bert-base-chinese,1024,18,4622,0.041666666666666664
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,cnn,20,256,3,2,10,128,max,adam,0.0001,bert-base-chinese,1024,18,4622,0.4444444444444444
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,cnn,20,256,3,2,10,128,avg,adam,0.0001,bert-base-chinese,1024,18,4622,0.4361111111111111
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,cnn,20,256,3,2,10,128,max,sgd,0.0001,bert-base-chinese,1024,18,4622,0.05
